Account Name,Compound,Negative,Neutral,Positive,Tweet,Tweets Ago
@CNN,0.0,1.0,0.0,0.0,"Last month, CNN sent writing paper along with a stamped and addressed return envelope to immigrant mothers separate… https://t.co/4nZT3bFgcl",66
@CNN,0.0,1.0,0.0,0.0,President Trump is meeting the Queen for tea. Here's what to watch for: https://t.co/sWpAArRs7a https://t.co/QOItikiLP5,67
@CNN,-0.34,0.821,0.179,0.0,Stormy Daniels performs in a different Ohio strip club after arrest https://t.co/JIXnlJtJjB https://t.co/sah9rShhd2,68
@CNN,-0.34,0.893,0.107,0.0,Pakistan's largest province is in lockdown as authorities prepare for the return -- and arrest -- of former Prime M… https://t.co/JwvYWOQEKc,69
@CNN,-0.2411,0.911,0.089,0.0,"""I am not responsible for immigration policies across Europe or even in our country or city.""

London Mayor Sadiq K… https://t.co/9HW3FdMtXe",70
@CNN,-0.4201,0.883,0.117,0.0,"RT @cnni: ""It must have been a very difficult evening for Prime Minister May."" London Mayor Sadiq Khan responds to Donald Trump's interview…",71
@CNN,-0.2263,0.899,0.101,0.0,"A giant ""Trump Baby"" balloon has been inflated near Britain's Houses of Parliament, amid protests at President Trum… https://t.co/HLV2odnra0",72
@CNN,0.7321,0.709,0.0,0.291,"Trump confidant says the President had a ""love fest"" with British PM Theresa May, despite critical interview… https://t.co/A6n5OMPuFv",73
@CNN,-0.7184,0.667,0.333,0.0,A woman accused of attacking a 91-year-old Mexican man with a concrete brick has been charged with attempted murder… https://t.co/cVomtfJVqc,74
@CNN,-0.4404,0.794,0.206,0.0,"Protesters have inflated a giant ""Trump Baby"" balloon near Britain's Houses of Parliament, in protest of President… https://t.co/FjsWrFiWni",75
@CNN,-0.4939,0.775,0.225,0.0,Trump detonates Brexit bomb in Britain visit | Analysis by @StCollinson https://t.co/GbWEB4b13E https://t.co/6ykhx717D3,76
@CNN,0.0,1.0,0.0,0.0,"In Trump's interview with The Sun during his UK visit he also said, ""You don't hear the word 'England' as much as y… https://t.co/kpAhRMOl2R",77
@CNN,-0.7506,0.738,0.262,0.0,"He reiterated his frustration with past US administrations and NATO. 

Trump said they failed to act to rectify the… https://t.co/eeReWGQoZ4",78
@CNN,-0.4767,0.866,0.134,0.0,"Trump was less complementary about Sadiq Khan -- the US President said he had done a ""terrible job"" as London mayor. https://t.co/7tsnCO7aX2",79
@CNN,0.0,1.0,0.0,0.0,"Donald Trump is scheduled to meet with Queen Elizabeth II later today -- he described her as a ""tremendous woman,""… https://t.co/tCbZBQF0Tw",80
@nytimes,0.0,1.0,0.0,0.0,Reporter Gardiner Harris found he was both invisible and very much watched during a visit to North Korea. https://t.co/FpJ13gb2Lc,81
@nytimes,-0.4588,0.664,0.235,0.102,Bette Nesmith Graham was a terrible typist. So she invented a product that took away the pressure of perfectionism. https://t.co/Cw0PRm4yIx,82
@nytimes,0.0,1.0,0.0,0.0,"Britain, Time to Let Go of the ‘Anglosphere’ https://t.co/LhNwBcC9Jo",83
@nytimes,0.0,1.0,0.0,0.0,"The Chinese government's decision to release Liu Xia, widow of the country's most famous dissident, sprung from the… https://t.co/tbn2zTnetW",84
@nytimes,-0.128,0.657,0.183,0.16,RT @alanblinder: The Justice Department has reopened its investigation into the death of Emmett Till. https://t.co/cst7R8jMvV,85
@nytimes,0.7346,0.78,0.0,0.22,"RT @julieturkewitz: “We’re very lucky that my boss has been friends with the vice president,” said David Duquette, an aide to the magnate w…",86
@nytimes,-0.6705,0.816,0.184,0.0,"Cpl. Joseph Maciel, who was killed by an Afghan soldier on Saturday, was assigned to a unit meant to provide securi… https://t.co/RRwSrrgVaB",87
@nytimes,0.3612,0.889,0.0,0.111,RT @itscaitlinhd: All “eligible” children under 5-years-old have been reunified with their parents. That doesn’t mean much to people like N…,88
@nytimes,0.765,0.742,0.0,0.258,"RT @maggieNYT: When Trump took his official portrait, he giddily told people he thought his frown looked ""like Churchill."" Great @katieroge…",89
@nytimes,-0.6808,0.763,0.237,0.0,Bette Nesmith Graham was a terrible typist. She was also an artist who observed that painters covered up mistakes n… https://t.co/VBh9pB35z7,90
@nytimes,-0.6369,0.634,0.366,0.0,"In Troubled Cameroon, U.S. Envoy Is Accused of Election Meddling https://t.co/pXGDWAzcHJ",91
@nytimes,-0.1027,0.765,0.129,0.106,9 new books recommended by critics and editors at The New York Times this week https://t.co/l3UnSz0Ajn,92
@nytimes,0.0,1.0,0.0,0.0,Astronomers traced a neutrino back to a distant galaxy. “We have found the first source of cosmic rays.” https://t.co/fMhKD3n0oG,93
@nytimes,-0.3182,0.733,0.168,0.099,A painting worth $1 million has turned up 4 decades after it was stolen from a Manhattan warehouse https://t.co/334A5NHqlB,94
@nytimes,0.4019,0.847,0.0,0.153,2 Democratic senators asked federal regulators to investigate the business practices of smart TV manufacturers amid… https://t.co/QSJBVhkELf,95
@nytimes,0.0,1.0,0.0,0.0,"Tech companies have changed the world by building answers to obvious questions — but now the obvious, pressing ques… https://t.co/iCfEVikIcp",96
@nytimes,-0.2263,0.899,0.101,0.0,Many celebrities and politicians found their Twitter followings knocked down a few digits as the company slashed te… https://t.co/IzbV0vNBHT,97
@nytimes,0.6249,0.814,0.0,0.186,RT @PamelaPaulNYT: Now you finally get to know which books the great Michiko Kakutani really wants to read. https://t.co/5gQ2abkmTF,98
@nytimes,0.0,1.0,0.0,0.0,Ireland is expected to become the first country to formally pledge to divest from fossil fuels https://t.co/24zgVmfSl5,99
@nytimes,0.5106,0.837,0.0,0.163,"“I still can’t believe it worked.” Inside the Thai soccer team's rescue: floating stretchers, anti-anxiety pills an… https://t.co/KdCrVdGMP6",100
@BBCWorld,-0.5423,0.632,0.368,0.0,China industrial park explosion kills 19 https://t.co/rrOXvoFOBf,101
@BBCWorld,0.0,1.0,0.0,0.0,Why Brussels is keeping quiet on May's White Paper https://t.co/ptFTPbcGb5,102
@BBCWorld,-0.5267,0.726,0.274,0.0,Egypt explosion: Twelve hurt in blast near Cairo airport https://t.co/Q0eFTgBLKW,103
@BBCWorld,0.0,1.0,0.0,0.0,Koster - the South African town where residents took back control https://t.co/Lc2AMkm0Dn,104
@BBCWorld,0.0,1.0,0.0,0.0,Kylie Jenner: How the reality teen founded a cosmetics empire https://t.co/rwFrEnZpAc,105
@BBCWorld,0.0,1.0,0.0,0.0,The 'vegetarian' mutton curry that unites Bengalis https://t.co/BNzXXPpYKh,106
@BBCWorld,-0.7003,0.547,0.453,0.0,Fake Twitter users: Celebrities lose followers amid crackdown https://t.co/Fr69OhMtwJ,107
@BBCWorld,0.0,1.0,0.0,0.0,Trump 'riding a unicorn over a rainbow' says ex-spokesman Spicer https://t.co/n78OwCeGtJ,108
@BBCWorld,0.0,1.0,0.0,0.0,Ex-Pakistan PM Nawaz Sharif returns to face 'jail cell' https://t.co/PmM6L7nZOn,109
@BBCWorld,0.0,1.0,0.0,0.0,EU's Jean-Claude Juncker filmed stumbling at Nato event https://t.co/tIVeJr1Riw,110
@BBCWorld,0.0,1.0,0.0,0.0,Sparks fly in FBI agent's Trump testimony https://t.co/Ntuy8mpRht,111
@BBCWorld,0.0,1.0,0.0,0.0,Ireland set to be first country to end investment in fossil fuels https://t.co/wiT3eSj8Wq,112
@BBCWorld,0.34,0.906,0.0,0.094,"RT @BBCNews: Bands from the Welsh, Irish and Scots Guards play for Donald Trump at Blenheim Palace ahead of tonight's dinner with Theresa M…",113
@BBCWorld,0.5859,0.678,0.0,0.322,Paul Manafort: The man who helped Trump win https://t.co/J6XrVqOLKY,114
@BBCWorld,0.0,1.0,0.0,0.0,"RT @BBCNews: Donald Trump arrives at Blenheim Palace, for tonight's gala dinner hosted by Theresa May

Latest: https://t.co/BlLsEwTJPE #Tru…",115
@BBCWorld,-0.4215,0.648,0.352,0.0,Canada province cancels new sex-ed curriculum after protests https://t.co/tgUT0vZldy,116
@BBCWorld,0.0,1.0,0.0,0.0,US claims all eligible migrant toddlers reunited with parents https://t.co/Rrsyo6oLRJ,117
@BBCWorld,0.0,1.0,0.0,0.0,"Russian artists on culture, identity and censorship https://t.co/XEiGwzQSVy https://t.co/Jh1YgzKra2",118
@BBCWorld,0.0,1.0,0.0,0.0,US reopens investigation of Emmett Till slaying 63 years later https://t.co/whHNEDhfh0,119
@BBCWorld,-0.9001,0.476,0.524,0.0,North Korea fails to attend talks on repatriation of US war dead https://t.co/ro69gHV9ac,120
@CBSNews,-0.5574,0.847,0.153,0.0,A federal ban passed in 2016 will wipe out smoking in nearly a million public housing units around the country at t… https://t.co/4UzpZfO5cK,121
@CBSNews,0.0,1.0,0.0,0.0,Peter Strzok tells House Judiciary Committee he does not object to the release of his closed-door testimony to the… https://t.co/CeBesoRvQD,122
@CBSNews,-0.34,0.87,0.13,0.0,WATCH: House Judiciary Committee members argue over whether they can release transcript of Peter Strzok's closed-do… https://t.co/lI7lfbf2Vn,123
@CBSNews,-0.296,0.909,0.091,0.0,"Strzok: What I can tell you, is that text in no way suggested that I or the FBI would take any action to influence… https://t.co/IA1vhpmHtc",124
@CBSNews,0.0,1.0,0.0,0.0,"“It’s an impossible definition to say, ‘People must not have political opinion.’ Everyone does. the test is whether… https://t.co/lhRgXwjEiO",125
@CBSNews,0.0,1.0,0.0,0.0,Rep. Goodlatte reads a series of Strzok's messages: “Do you understand the implications of this text when my consti… https://t.co/GQgrjuiYzK,126
@CBSNews,0.0,1.0,0.0,0.0,"""I separated out my personal beliefs from any action I took as an FBI agent every day,"" Peter Strzok tells Rep. Goo… https://t.co/3wduJIeUrh",127
@CBSNews,0.0,1.0,0.0,0.0,"""I moved to subpoena Steve Bannon. He was a witness in the House committee investigation he was under subpoena and… https://t.co/mQxrGXkDUW",128
@CBSNews,0.4215,0.872,0.0,0.128,"House hearing erupts with applause after Strzok replies to Rep. Trey Gowdy: ""The proposition that that is going on… https://t.co/xAlbASE7rg",129
@CBSNews,-0.6059,0.809,0.191,0.0,"Green Day's ""American Idiot"" may have come out in 2004, but it just skyrocketed to No. 18 on the U.K. charts again… https://t.co/aWx7ffuKXQ",130
@CBSNews,0.6486,0.773,0.0,0.227,“Can’t [Strzok] answer the questions that you promised he would have an opportunity to answer? He endured 15 minute… https://t.co/F04VgMX9N5,131
@CBSNews,0.4939,0.862,0.0,0.138,"Rep. Gowdy: May 17 2017: Bob Mueller is appointed, Your friend Jim Comey has been fired...Do you remember how long… https://t.co/nn9bokekH6",132
@CBSNews,-0.7525,0.737,0.263,0.0,"""We have indulged this harassment for nine minutes,"" Rep. Coleman interrupts Rep. Gowdy has he is grilling Strzok a… https://t.co/BqEGSegHF5",133
@CBSNews,-0.296,0.909,0.091,0.0,"Strozk: What I can tell you, is that text in no way suggested that I or the FBI would take any action to influence… https://t.co/duWicG8jW0",134
@CBSNews,0.0,1.0,0.0,0.0,"""You are the lead investigator, you originated the investigation, you are the point of contact, you drafted the doc… https://t.co/i0zfEJGKKW",135
@CBSNews,-0.34,0.876,0.124,0.0,Peter Strzok's hearing is so divisive that lawmakers continue to argue about how to conduct the questioning… https://t.co/c3yOYp3e1q,136
@CBSNews,-0.4019,0.856,0.144,0.0,WATCH: Peter Strzok's congressional hearing deteriorates into arguments as lawmakers mince words about the rules be… https://t.co/v7v15uOC0f,137
@CBSNews,-0.1779,0.681,0.178,0.141,"Secret Service issues ""actionable"" guide to help identify students who may be a threat https://t.co/88b1DY3rDf https://t.co/yszOk6iDr6",138
@CBSNews,0.4767,0.853,0.0,0.147,Strzok: “I'm also proud of our work on the Russian interference investigation. This is an investigation into a dire… https://t.co/t6zAMYJXAk,139
@CBSNews,-0.3182,0.887,0.113,0.0,"“Americans are skeptical of anything coming out of Washington. But the fact is, after months of investigations, the… https://t.co/duZeTlpu6r",140
@FoxNews,-0.4215,0.743,0.257,0.0,Gowdy accuses Strzok of 'textbook bias' in heated public hearing (via @brookefoxnews) https://t.co/7FPaFH7Kwq,141
@FoxNews,-0.0258,0.744,0.13,0.126,".@RepCummings: ""The Special Counsel has now obtained 5 guilty pleas and indicted 18 others including some of @POTUS… https://t.co/efakrLFvd3",142
@FoxNews,0.0516,0.854,0.0,0.146,MOMENTS AGO: @RepGoodlatte swears in Peter Strzok. https://t.co/olN9ZGdCTt,143
@FoxNews,-0.3818,0.769,0.231,0.0,"Peter Strzok: ""There is simply no evidence of bias in my professional actions."" https://t.co/exFq8FXpYQ",144
@FoxNews,0.0,1.0,0.0,0.0,".@TGowdySC: ""Agent Strzok has a most unusual and a largely self-serving definition of bias."" https://t.co/c4qsOfnZa9",145
@FoxNews,-0.0258,0.744,0.13,0.126,".@RepCummings: ""The Special Counsel has now obtained 5 guilty pleas and indicted 18 others including some of @POTUS… https://t.co/RqFPrqjvIc",146
@FoxNews,0.0,1.0,0.0,0.0,".@RepJerryNadler: ""Perhaps the rules of this joint investigation, such as they are, operate differently now that we… https://t.co/LbUB5e3Esj",147
@FoxNews,-0.765,0.708,0.292,0.0,".@RepGoodlatte: ""Imagine if you were under investigation and the investigator hated you, disparaged you in all mann… https://t.co/l5FQYitWnh",148
@FoxNews,0.0772,0.734,0.124,0.141,".@TGowdySC: ""Strzok promised to stop Trump from becoming president before the investigation even began."" https://t.co/Hh5evd7swo",149
@FoxNews,0.4019,0.87,0.0,0.13,".@TGowdySC: ""The moment Special Counsel Bob Mueller found out about Peter Strzok's texts and emails, he kicked him… https://t.co/fHaYk6GoOO",150
@FoxNews,0.0,1.0,0.0,0.0,".@TGowdySC: ""Agent Strzok has a most unusual and a largely self-serving definition of bias."" https://t.co/SNQv6NWldz",151
@FoxNews,-0.2263,0.888,0.112,0.0,"Moments ago at the Peter Strzok hearing, @RepGoodlatte demanded answers of the FBI agent. https://t.co/n9rtHEvNOP https://t.co/jusNuFwaM0",152
@FoxNews,-0.296,0.761,0.239,0.0,".@RepGoodlatte: ""No one is above the law."" https://t.co/Guy7D8ItwH",153
@FoxNews,0.0,1.0,0.0,0.0,".@RepGoodlatte: ""Suppose all of this had been said about candidate Obama before he was elected, or even more topica… https://t.co/c8VM0UTu2F",154
@FoxNews,-0.765,0.708,0.292,0.0,".@RepGoodlatte: ""Imagine if you were under investigation and the investigator hated you, disparaged you in all mann… https://t.co/Mm1mQ388r1",155
@FoxNews,-0.1586,0.879,0.121,0.0,".@RepGoodlatte: ""We don't want to read text message after text message dripping with bias against one of the two pr… https://t.co/oarJOgxTNh",156
@FoxNews,0.4588,0.857,0.0,0.143,".@RepGoodlatte: ""We welcome everyone to this morning's hearing on oversight of FBI and DOJ action surrounding the 2… https://t.co/vjBuOJbPsj",157
@FoxNews,0.0,1.0,0.0,0.0,"FBI agent Peter Strzok testifies before House committees on FBI, DOJ actions during 2016 election https://t.co/NUrEMzw9dH",158
@FoxNews,0.1531,0.565,0.194,0.242,Michael Avenatti calls Stormy Daniels arrest 'politically motivated' https://t.co/hRSxiV5nEx,159
@FoxNews,0.128,0.897,0.0,0.103,Chris Wallace Announces Exclusive Interview With Vladimir Putin Monday After Trump Summit https://t.co/X4a3okVf0a https://t.co/7a4BVip1pq,160
@CNN,-0.5423,0.8,0.2,0.0,"A flight from Hong Kong to the Chinese mainland suddenly lost air pressure and dropped nearly 20,000 feet because t… https://t.co/IMnqex4xQH",161
@CNN,0.0,1.0,0.0,0.0,"Archaeologists unearth a mysterious sarcophagus in Egypt 
https://t.co/8sVe5besTg https://t.co/HNM82COtIa",162
@CNN,-0.296,0.872,0.128,0.0,Embattled FBI agent Peter Strzok to face off with GOP critics at public hearing https://t.co/hC6IOn9rlv https://t.co/K8qyZ4b83j,163
@CNN,-0.7579,0.755,0.245,0.0,A former Western spy inside al Qaeda reveals how the terror group planned an attack on New York's subway in 2003 an… https://t.co/MwvmOREHYV,164
@CNN,-0.4767,0.866,0.134,0.0,Adult film actress Stormy Daniels was arrested at a strip club in Ohio early Thursday and faces three counts of ill… https://t.co/l5GzxGbGPE,165
@CNN,0.0,1.0,0.0,0.0,"President Trump arrives in the UK. He'll start his day there visiting with British Prime Minister Theresa May.

Fol… https://t.co/BH5IRamA91",166
@CNN,0.0,1.0,0.0,0.0,Shark bites Instagram model posing in the Bahamas https://t.co/jlWQ38jpg8 https://t.co/OqBSx1Uja6,167
@CNN,0.0,1.0,0.0,0.0,"The Medicaid website has hidden a batch of Obamacare information that was once prominently featured, including deta… https://t.co/kcqkCoPByF",168
@CNN,-0.446,0.513,0.349,0.138,"Facebook touts its fight on fake news, but struggles to explain why InfoWars isn't banned https://t.co/LlB4B0cpjb https://t.co/irwgRS0x3f",169
@CNN,0.0,1.0,0.0,0.0,"5 things for Thursday:

- NATO summit
- Immigration
- Papa John's
- India
- Twitter and Facebook… https://t.co/BRrPAZUjMy",170
@CNN,0.795,0.665,0.0,0.335,'I think they like me there:' President Trump says he's popular in the UK despite threat of protests… https://t.co/kf6wsrRQBi,171
@CNN,-0.1027,0.674,0.174,0.152,How President Trump's disdain for NATO could help Putin | Analysis by @stcollinson https://t.co/NODQRx7Ahc https://t.co/B6KMbzB84z,172
@CNN,-0.1531,0.904,0.096,0.0,America is falling far behind on key world goals | By Jeffrey Sachs via @CNNOpinion https://t.co/uJ1S0hM5ot https://t.co/P96YvZY0aP,173
@CNN,-0.6705,0.791,0.209,0.0,"An Icelandic whaling company has reportedly killed a blue whale, an endangered species and the largest animal known… https://t.co/WZuPWgl8Ul",174
@CNN,0.0,1.0,0.0,0.0,"President Trump's barrage of acidic rhetoric at the NATO summit was ""beyond belief,"" reeling diplomats say… https://t.co/g5Iqxnbugt",175
@CNN,-0.7906,0.667,0.333,0.0,An Illinois police officer has resigned after being criticized for not intervening as a man harassed a woman for we… https://t.co/ltfMHkYHp9,176
